Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No,Tyus Jones,jonesty01,2017,NBA,20,MIN,PG,60,0,774,3.5,8.4,0.414,1.2,3.4,0.356,2.3,5.0,0.454,0.486,1.5,2.0,0.767,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7
No,DeAndre Jordan,jordade01,2017,NBA,28,LAC,C,81,81,2570,5.8,8.1,0.714,0.0,0.0,0.000,5.8,8.1,0.717,0.714,2.9,6.0,0.482,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3.0,14.4
No,Cory Joseph,josepco01,2017,NBA,25,TOR,PG,80,22,2003,5.4,11.9,0.452,0.9,2.4,0.356,4.5,9.5,0.477,0.489,1.7,2.2,0.770,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3
No,Frank Kaminsky,kaminfr01,2017,NBA,23,CHO,C,75,16,1954,5.9,14.8,0.399,2.1,6.5,0.328,3.8,8.3,0.455,0.471,2.2,2.9,0.756,1.1,5.1,6.2,3.0,0.8,0.6,1.4,2.6,16.1
No,Enes Freedom,kanteen01,2017,NBA,24,OKC,C,72,0,1533,9.4,17.3,0.545,0.1,0.9,0.132,9.3,16.4,0.568,0.549,5.3,6.7,0.786,4.6,6.7,11.3,1.6,0.8,0.9,2.9,3.6,24.3
No,Ryan Kelly,kellyry01,2017,NBA,25,ATL,PF,16,0,110,2.6,9.2,0.286,1.3,3.3,0.400,1.3,5.9,0.222,0.357,1.6,2.0,0.833,0.3,5.6,5.9,2.6,1.3,1.6,1.3,1.6,8.2
No,Michael Kidd-Gilchrist,kiddgmi01,2017,NBA,23,CHO,SF,81,81,2349,4.5,9.5,0.477,0.0,0.1,0.111,4.5,9.3,0.483,0.478,2.3,3.0,0.784,2.4,6.3,8.7,1.7,1.2,1.2,0.9,2.9,11.4
No,Sean Kilpatrick,kilpase01,2017,NBA,27,BRK,SG,70,24,1754,6.3,15.1,0.415,2.2,6.3,0.341,4.1,8.8,0.468,0.486,4.2,5.0,0.843,0.5,5.3,5.7,3.2,0.9,0.1,2.8,2.4,18.9
No,Brandon Knight,knighbr03,2017,NBA,25,PHO,SG,54,5,1140,6.6,16.6,0.398,1.4,4.4,0.324,5.2,12.2,0.425,0.441,4.2,4.9,0.857,0.8,2.9,3.7,4.1,0.9,0.2,2.8,2.7,18.8
No,Kyle Korver,korveky01,2017,NBA,35,2TM,SG,67,22,1753,4.9,10.6,0.464,3.3,7.4,0.451,1.6,3.2,0.494,0.621,0.8,0.9,0.905,0.1,3.7,3.8,2.3,0.7,0.4,1.4,2.2,13.9
No,Kyle Korver,korveky01,2017,NBA,35,ATL,SG,32,21,894,4.3,9.9,0.439,2.6,6.4,0.409,1.7,3.5,0.494,0.571,1.0,1.1,0.889,0.0,3.6,3.6,3.0,0.9,0.5,1.6,1.9,12.3
No,Kyle Korver,korveky01,2017,NBA,35,CLE,SG,35,1,859,5.5,11.3,0.487,4.1,8.4,0.485,1.4,2.9,0.493,0.667,0.6,0.6,0.933,0.3,3.8,4.1,1.5,0.5,0.3,1.2,2.5,15.6
No,Kosta Koufos,koufoko01,2017,NBA,27,SAC,C,71,62,1419,5.5,9.9,0.551,0.0,0.0,0.000,5.5,9.9,0.552,0.551,1.0,1.6,0.613,3.0,7.2,10.2,1.2,0.9,1.2,1.5,4.4,11.9
No,Mindaugas Kuzminskas,kuzmimi01,2017,NBA,27,NYK,SF,68,5,1016,5.6,13.1,0.428,1.9,6.0,0.321,3.7,7.1,0.517,0.501,1.9,2.4,0.809,1.7,2.8,4.5,2.4,1.0,0.4,1.8,2.8,15.1
No,Skal Labissière,labissk01,2017,NBA,20,SAC,PF,33,12,612,6.9,12.8,0.537,0.2,0.5,0.375,6.7,12.4,0.543,0.544,3.1,4.4,0.703,3.0,6.5,9.5,1.6,0.9,0.8,2.2,3.8,17.0
No,Jeremy Lamb,lambje01,2017,NBA,24,CHO,SG,62,5,1143,7.1,15.5,0.460,1.3,4.6,0.281,5.8,10.9,0.536,0.502,3.5,4.1,0.853,0.9,7.4,8.3,2.4,0.9,0.7,1.3,3.1,19.0
No,Nicolás Laprovíttola,laproni01,2017,NBA,27,SAS,PG,18,3,174,4.1,9.7,0.426,2.1,5.6,0.370,2.1,4.1,0.500,0.532,1.9,1.9,1.000,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
No,Joffrey Lauvergne,lauvejo01,2017,NBA,25,2TM,C,70,1,980,5.4,12.3,0.440,1.2,3.6,0.337,4.2,8.7,0.483,0.490,1.7,2.7,0.630,2.6,6.6,9.2,2.6,0.9,0.2,2.1,3.0,13.8
No,Joffrey Lauvergne,lauvejo01,2017,NBA,25,OKC,PF,50,0,739,5.4,11.9,0.455,1.3,3.8,0.346,4.1,8.1,0.506,0.510,1.8,2.8,0.638,2.5,6.4,8.9,2.5,0.9,0.3,1.9,3.5,13.9
No,Joffrey Lauvergne,lauvejo01,2017,NBA,25,CHI,C,20,1,241,5.5,13.7,0.402,0.9,3.0,0.300,4.6,10.8,0.431,0.435,1.3,2.2,0.600,3.1,7.0,10.2,2.8,1.0,0.0,2.4,1.8,13.3
No,Zach LaVine,lavinza01,2017,NBA,21,MIN,SG,47,47,1749,6.7,14.6,0.459,2.5,6.4,0.387,4.2,8.2,0.515,0.544,2.4,2.9,0.836,0.4,2.9,3.3,2.9,0.8,0.2,1.7,2.1,18.3
No,Ty Lawson,lawsoty01,2017,NBA,29,SAC,PG,69,24,1732,4.9,10.8,0.454,0.7,2.5,0.288,4.2,8.4,0.502,0.487,3.6,4.5,0.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
No,Jake Layman,laymaja01,2017,NBA,22,POR,SF,35,1,249,3.8,12.9,0.292,1.9,7.4,0.255,1.9,5.5,0.342,0.365,1.9,2.5,0.765,0.9,2.6,3.5,1.6,1.3,0.4,1.6,3.2,11.3
No,Courtney Lee,leeco01,2017,NBA,31,NYK,SG,77,74,2459,4.7,10.3,0.456,1.6,3.9,0.401,3.1,6.4,0.490,0.533,1.2,1.4,0.867,0.8,3.0,3.8,2.6,1.2,0.4,1.0,2.1,12.2
No,David Lee,leeda02,2017,NBA,33,SAS,PF,79,10,1477,6.0,10.2,0.590,0.0,0.0,,6.0,10.2,0.590,0.590,1.9,2.8,0.708,3.6,7.1,10.7,3.0,0.8,1.0,2.0,3.0,14.0
No,Alex Len,lenal01,2017,NBA,23,PHO,C,77,34,1560,5.3,10.7,0.497,0.1,0.3,0.250,5.2,10.4,0.503,0.500,3.5,4.8,0.721,3.6,8.2,11.8,1.0,0.9,2.3,2.4,5.6,14.1
No,Kawhi Leonard,leonaka01,2017,NBA,25,SAS,SF,74,74,2474,9.3,19.1,0.485,2.1,5.6,0.380,7.1,13.5,0.529,0.541,6.8,7.8,0.880,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5
No,Meyers Leonard,leoname01,2017,NBA,24,POR,PF,74,12,1222,4.3,11.1,0.386,2.2,6.3,0.347,2.1,4.9,0.436,0.484,1.0,1.2,0.875,0.8,6.2,7.0,2.1,0.4,0.8,1.0,5.1,11.8
No,Jon Leuer,leuerjo01,2017,NBA,27,DET,PF,75,34,1944,5.7,12.0,0.480,0.9,3.1,0.293,4.8,8.9,0.545,0.518,1.8,2.1,0.867,1.9,5.6,7.4,2.1,0.6,0.5,1.2,2.7,14.2
No,Caris LeVert,leverca01,2017,NBA,22,BRK,SF,57,26,1237,5.0,11.1,0.450,1.7,5.4,0.321,3.3,5.7,0.571,0.528,1.9,2.7,0.720,0.7,4.8,5.5,3.2,1.4,0.2,1.7,2.6,13.6
No,DeAndre Liggins,liggide01,2017,NBA,28,2TM,SG,62,19,777,2.5,6.6,0.387,0.8,2.1,0.370,1.8,4.4,0.396,0.447,1.2,1.9,0.625,0.9,4.1,5.0,2.5,2.2,0.6,1.9,3.8,7.0
No,DeAndre Liggins,liggide01,2017,NBA,28,CLE,SG,61,19,752,2.5,6.5,0.382,0.8,2.2,0.378,1.7,4.4,0.385,0.445,1.1,1.8,0.622,0.8,4.0,4.8,2.6,2.2,0.7,2.0,3.7,6.9
No,DeAndre Liggins,liggide01,2017,NBA,28,DAL,SG,1,0,25,4.3,8.6,0.500,0.0,1.4,0.000,4.3,7.2,0.600,0.500,2.9,4.3,0.667,4.3,5.8,10.1,0.0,2.9,0.0,0.0,4.3,11.5
No,Damian Lillard,lillada01,2017,NBA,26,POR,PG,75,75,2694,8.8,19.9,0.444,2.9,7.7,0.370,6.0,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0
No,Jeremy Lin,linje01,2017,NBA,28,BRK,PG,36,33,883,7.1,16.3,0.438,2.4,6.4,0.372,4.8,9.9,0.480,0.510,4.7,5.7,0.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3
No,Shaun Livingston,livinsh01,2017,NBA,31,GSW,PG,76,3,1345,4.6,8.5,0.547,0.0,0.1,0.333,4.6,8.4,0.550,0.549,1.1,1.6,0.700,0.7,3.3,4.0,3.7,1.0,0.5,1.7,3.2,10.4
No,Shawn Long,longsh01,2017,NBA,24,PHI,C,18,0,234,9.4,16.8,0.560,1.1,2.9,0.368,8.3,13.8,0.600,0.592,2.9,5.4,0.543,6.3,6.8,13.1,2.0,1.4,1.4,2.0,7.5,22.8
No,Kevon Looney,looneke01,2017,NBA,20,GSW,C,53,4,447,4.5,8.6,0.523,0.2,0.7,0.222,4.3,7.9,0.551,0.533,1.7,2.7,0.618,3.5,6.4,10.0,2.3,1.2,1.4,1.4,5.2,10.9
No,Brook Lopez,lopezbr01,2017,NBA,28,BRK,C,75,75,2222,9.0,19.0,0.474,2.2,6.3,0.346,6.8,12.7,0.536,0.531,4.8,5.9,0.810,2.0,4.6,6.5,2.9,0.6,2.0,3.0,3.1,24.9
No,Robin Lopez,lopezro01,2017,NBA,28,CHI,C,81,81,2271,6.1,12.3,0.493,0.0,0.0,0.000,6.1,12.3,0.494,0.493,1.2,1.6,0.721,3.9,4.4,8.2,1.3,0.3,1.9,1.4,2.4,13.3
No,Kevin Love,loveke01,2017,NBA,28,CLE,PF,60,60,1885,7.1,16.6,0.427,2.8,7.4,0.373,4.3,9.1,0.471,0.510,4.9,5.6,0.871,2.8,9.9,12.7,2.2,1.0,0.4,2.3,2.4,21.8
No,Kyle Lowry,lowryky01,2017,NBA,30,TOR,PG,60,60,2244,6.8,14.7,0.464,3.1,7.5,0.412,3.7,7.2,0.518,0.569,4.8,5.9,0.819,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6
No,John Lucas III,lucasjo02,2017,NBA,34,MIN,PG,5,0,11,3.3,13.1,0.250,0.0,3.3,0.000,3.3,9.8,0.333,0.250,0.0,0.0,,0.0,0.0,0.0,3.3,6.5,0.0,0.0,0.0,6.5
No,Timothé Luwawu-Cabarrot,luwawti01,2017,NBA,21,PHI,SF,69,19,1190,4.4,10.9,0.402,1.5,4.9,0.311,2.9,6.1,0.475,0.471,3.2,3.7,0.854,0.8,3.8,4.5,2.3,1.0,0.3,2.2,4.7,13.5
No,Trey Lyles,lylestr01,2017,NBA,21,UTA,PF,71,4,1158,4.9,13.6,0.362,2.0,6.3,0.319,2.9,7.3,0.400,0.436,1.8,2.5,0.722,1.5,5.8,7.3,2.1,0.8,0.6,2.0,3.0,13.7
No,Shelvin Mack,macksh01,2017,NBA,26,UTA,PG,55,9,1205,5.1,11.4,0.446,1.1,3.6,0.308,4.0,7.8,0.510,0.495,1.6,2.3,0.688,0.6,3.1,3.7,4.6,1.3,0.1,2.7,3.0,12.8
No,Ian Mahinmi,mahinia01,2017,NBA,30,WAS,C,31,0,555,4.2,7.2,0.586,0.0,0.0,,4.2,7.2,0.586,0.586,2.8,4.9,0.573,3.0,6.7,9.7,1.2,2.1,1.6,2.2,5.8,11.2
No,Thon Maker,makerth01,2017,NBA,19,MIL,C,57,34,562,5.3,11.6,0.459,1.8,4.7,0.378,3.5,6.9,0.514,0.536,2.0,3.1,0.653,2.6,4.7,7.3,1.5,0.6,1.7,1.1,5.4,14.5
No,Boban Marjanović,marjabo01,2017,NBA,28,DET,C,35,0,293,8.8,16.2,0.545,0.0,0.0,,8.8,16.2,0.545,0.545,5.8,7.1,0.810,5.7,10.3,16.0,1.1,0.7,1.5,1.2,3.1,23.5
No,Jarell Martin,martija01,2017,NBA,22,MEM,PF,42,3,558,3.7,9.7,0.384,0.6,1.6,0.360,3.2,8.1,0.389,0.414,2.6,3.2,0.800,2.7,7.7,10.5,0.5,1.1,0.6,1.8,5.9,10.6
No,Wesley Matthews,matthwe02,2017,NBA,30,DAL,SG,73,73,2495,4.8,12.2,0.393,2.5,6.9,0.363,2.3,5.3,0.432,0.496,2.1,2.6,0.816,0.3,3.5,3.7,3.0,1.1,0.2,1.5,2.3,14.2
No,Luc Mbah a Moute,mbahalu01,2017,NBA,30,LAC,SF,80,76,1787,3.8,7.6,0.505,0.9,2.2,0.391,3.0,5.4,0.552,0.562,1.2,1.8,0.678,0.9,2.5,3.4,0.8,1.6,0.7,0.9,2.5,9.8
No,James Michael McAdoo,mcadoja01,2017,NBA,24,GSW,PF,52,2,457,4.9,9.2,0.530,0.2,0.6,0.250,4.7,8.6,0.550,0.538,1.7,3.3,0.500,2.7,4.5,7.2,1.4,1.4,2.3,1.5,3.7,11.6
No,Patrick McCaw,mccawpa01,2017,NBA,21,GSW,SG,71,20,1074,3.6,8.2,0.433,1.4,4.1,0.333,2.2,4.1,0.533,0.516,1.0,1.2,0.784,0.7,2.6,3.4,2.6,1.1,0.5,1.2,2.1,9.5
No,Sheldon Mac,mcclesh01,2017,NBA,24,WAS,SG,30,3,287,3.8,9.4,0.400,0.9,3.8,0.233,2.9,5.6,0.511,0.447,2.9,3.4,0.852,0.5,3.8,4.3,1.9,1.0,0.3,0.6,2.1,11.3
No,CJ McCollum,mccolcj01,2017,NBA,25,POR,SG,80,80,2796,8.9,18.6,0.480,2.4,5.7,0.421,6.5,12.9,0.506,0.544,3.5,3.8,0.912,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7
No,T.J. McConnell,mccontj01,2017,NBA,24,PHI,PG,81,51,2133,4.0,8.6,0.461,0.2,0.9,0.200,3.8,7.7,0.492,0.472,1.2,1.5,0.811,0.7,3.6,4.2,9.0,2.3,0.2,2.7,2.3,9.4
No,Chris McCullough,mcculch01,2017,NBA,21,2TM,PF,16,0,80,7.2,14.4,0.500,0.5,3.2,0.143,6.8,11.3,0.600,0.516,1.4,2.3,0.600,4.1,4.5,8.6,0.9,0.9,0.9,1.4,3.2,16.2
No,Chris McCullough,mcculch01,2017,NBA,21,BRK,PF,14,0,72,8.0,15.5,0.516,0.5,3.0,0.167,7.5,12.5,0.600,0.532,1.0,1.5,0.667,4.5,4.0,8.5,1.0,0.5,1.0,1.0,3.5,17.5
No,Chris McCullough,mcculch01,2017,NBA,21,WAS,PF,2,0,8,0.0,4.5,0.000,0.0,4.5,0.000,0.0,0.0,,0.000,4.5,9.0,0.500,0.0,9.0,9.0,0.0,4.5,0.0,4.5,0.0,4.5
No,K.J. McDaniels,mcdankj01,2017,NBA,23,2TM,SF,49,0,505,5.5,12.0,0.456,1.4,4.7,0.303,4.1,7.3,0.553,0.515,2.3,2.7,0.842,1.1,4.8,5.8,0.9,1.4,1.3,2.1,3.5,14.7
No,K.J. McDaniels,mcdankj01,2017,NBA,23,HOU,SF,29,0,212,5.3,11.5,0.456,1.5,4.6,0.333,3.7,7.0,0.537,0.522,1.5,1.7,0.900,1.0,4.1,5.1,0.7,1.2,1.4,1.7,4.1,13.6
No,K.J. McDaniels,mcdankj01,2017,NBA,23,BRK,SF,20,0,293,5.7,12.4,0.455,1.4,4.8,0.282,4.3,7.6,0.565,0.510,2.8,3.4,0.821,1.1,5.3,6.4,1.1,1.5,1.2,2.3,3.1,15.5
No,Doug McDermott,mcderdo01,2017,NBA,25,2TM,SF,66,5,1508,5.3,11.9,0.447,1.8,5.0,0.370,3.5,6.9,0.502,0.524,1.7,2.0,0.845,0.5,3.8,4.3,1.4,0.3,0.1,0.9,1.9,14.1
No,Doug McDermott,mcderdo01,2017,NBA,25,CHI,SF,44,4,1078,5.5,12.5,0.445,1.9,5.0,0.373,3.7,7.4,0.493,0.520,2.0,2.2,0.881,0.5,3.9,4.3,1.5,0.4,0.1,1.1,1.9,14.9
No,Doug McDermott,mcderdo01,2017,NBA,25,OKC,SF,22,1,430,4.7,10.4,0.452,1.8,4.9,0.362,2.9,5.5,0.530,0.536,1.0,1.4,0.706,0.5,3.6,4.1,1.1,0.2,0.1,0.5,1.8,12.1
No,JaVale McGee,mcgeeja01,2017,NBA,29,GSW,C,77,10,739,10.1,15.5,0.652,0.0,0.1,0.000,10.1,15.4,0.658,0.652,2.7,5.4,0.505,4.9,7.0,11.9,0.8,0.9,3.3,1.9,5.3,23.0
No,Rodney McGruder,mcgruro01,2017,NBA,25,MIA,SG,78,65,1966,3.5,8.4,0.413,1.3,4.0,0.332,2.1,4.4,0.488,0.492,0.8,1.3,0.620,1.7,3.0,4.7,2.3,0.8,0.3,1.0,2.6,9.1
No,Ben McLemore,mclembe01,2017,NBA,23,SAC,SG,61,27,1176,5.5,12.8,0.430,2.0,5.2,0.382,3.5,7.6,0.462,0.507,2.1,2.8,0.753,0.6,3.4,3.9,1.6,0.9,0.2,1.9,3.3,15.2
No,Jordan McRae,mcraejo01,2017,NBA,25,CLE,SG,37,4,384,5.4,14.1,0.387,1.7,4.8,0.353,3.7,9.3,0.404,0.447,2.5,3.2,0.794,0.6,3.3,3.8,1.8,0.7,0.6,1.3,2.9,15.1
No,Josh McRoberts,mcrobjo01,2017,NBA,29,MIA,PF,22,14,381,4.2,11.1,0.373,1.2,2.9,0.419,2.9,8.2,0.356,0.428,0.6,0.9,0.667,2.2,4.8,7.0,4.7,0.9,0.4,2.2,2.9,10.1
No,Jodie Meeks,meeksjo01,2017,NBA,29,ORL,SG,36,10,738,5.0,12.5,0.402,2.7,6.7,0.409,2.3,5.8,0.395,0.512,3.2,3.6,0.878,0.2,3.5,3.8,2.2,1.7,0.2,1.8,2.0,16.0
No,Salah Mejri,mejrisa01,2017,NBA,30,DAL,C,73,11,905,3.5,5.4,0.642,0.0,0.1,0.333,3.5,5.3,0.649,0.646,1.4,2.4,0.590,3.9,8.4,12.3,0.6,1.3,2.4,1.6,6.0,8.5
No,Jordan Mickey,mickejo01,2017,NBA,22,BOS,PF,25,1,141,3.8,8.7,0.441,0.0,0.3,0.000,3.8,8.4,0.455,0.441,2.0,3.6,0.571,3.3,5.4,8.7,1.8,0.8,1.5,2.3,3.1,9.7
No,Khris Middleton,middlkh01,2017,NBA,25,MIL,SF,29,23,889,6.1,13.5,0.450,1.8,4.2,0.433,4.3,9.3,0.459,0.518,3.3,3.7,0.880,0.4,4.5,5.0,4.0,1.7,0.3,2.6,3.2,17.3
No,C.J. Miles,milescj01,2017,NBA,29,IND,SF,76,29,1776,5.7,13.1,0.434,3.4,8.3,0.413,2.3,4.8,0.471,0.565,1.7,1.9,0.903,0.6,4.0,4.6,1.0,0.9,0.5,0.8,3.1,16.5
No,Mike Miller,millemi01,2017,NBA,36,DEN,SF,20,0,151,2.1,5.5,0.391,1.9,4.8,0.400,0.2,0.7,0.333,0.565,0.5,0.5,1.000,0.5,8.6,9.1,5.2,0.5,0.0,3.1,2.1,6.7
No,Elijah Millsap,millsel01,2017,NBA,29,PHO,SG,2,0,23,1.6,11.0,0.143,0.0,3.1,0.000,1.6,7.8,0.200,0.143,1.6,3.1,0.500,4.7,4.7,9.4,1.6,0.0,0.0,3.1,3.1,4.7
No,Paul Millsap,millspa01,2017,NBA,31,ATL,PF,69,67,2343,6.6,14.9,0.442,1.2,3.7,0.311,5.5,11.2,0.486,0.481,4.8,6.2,0.768,1.7,6.5,8.2,3.9,1.4,1.0,2.4,2.9,19.1
No,Patty Mills,millspa02,2017,NBA,28,SAS,PG,80,8,1754,5.6,12.7,0.440,3.0,7.3,0.414,2.6,5.5,0.474,0.558,1.4,1.6,0.825,0.5,2.4,2.9,5.7,1.3,0.1,2.1,2.2,15.6
No,Nikola Mirotić,mirotni01,2017,NBA,25,CHI,PF,70,15,1679,5.5,13.4,0.413,2.8,8.1,0.342,2.8,5.3,0.520,0.516,2.1,2.7,0.773,1.3,6.9,8.2,1.6,1.1,1.2,1.7,2.7,16.0
No,Greg Monroe,monrogr01,2017,NBA,26,MIL,C,81,0,1823,7.6,14.3,0.533,0.0,0.1,0.000,7.6,14.3,0.536,0.533,3.5,4.7,0.741,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8
No,E'Twaun Moore,mooreet01,2017,NBA,27,NOP,SG,73,22,1820,5.6,12.2,0.457,1.5,4.1,0.370,4.1,8.1,0.501,0.519,1.1,1.5,0.770,0.7,2.4,3.0,3.2,1.0,0.6,1.2,2.6,13.8
No,Markieff Morris,morrima02,2017,NBA,27,WAS,PF,76,76,2374,6.2,13.5,0.457,1.1,3.0,0.362,5.1,10.5,0.483,0.497,2.7,3.3,0.837,1.6,5.9,7.5,1.9,1.2,0.6,2.0,3.9,16.1
No,Marcus Morris,morrima03,2017,NBA,27,DET,SF,79,79,2565,5.9,14.1,0.418,1.7,5.0,0.331,4.3,9.1,0.466,0.477,2.0,2.6,0.784,1.1,4.1,5.1,2.2,0.7,0.4,1.2,2.4,15.5
No,Anthony Morrow,morroan01,2017,NBA,31,2TM,SG,49,7,714,4.9,12.7,0.389,2.1,6.7,0.308,2.9,6.0,0.479,0.470,1.7,1.9,0.919,0.6,1.0,1.6,1.3,1.2,0.1,0.3,2.2,13.7
No,Anthony Morrow,morroan01,2017,NBA,31,OKC,SG,40,7,627,4.9,12.8,0.386,2.0,6.8,0.294,2.9,6.0,0.490,0.464,1.3,1.5,0.885,0.6,1.0,1.7,1.1,1.3,0.1,0.3,2.3,13.2
No,Anthony Morrow,morroan01,2017,NBA,31,CHI,SG,9,0,87,5.0,12.0,0.414,2.5,5.8,0.429,2.5,6.2,0.400,0.517,4.6,4.6,1.000,0.4,0.4,0.8,2.5,0.8,0.0,0.0,1.7,17.0
No,Donatas Motiejūnas,motiedo01,2017,NBA,26,NOP,PF,34,0,479,4.3,10.4,0.413,0.8,3.5,0.234,3.5,6.8,0.505,0.453,1.9,3.7,0.510,2.0,5.6,7.6,2.4,1.4,0.8,2.3,4.1,11.3
No,Timofey Mozgov,mozgoti01,2017,NBA,30,LAL,C,54,52,1104,5.5,10.7,0.515,0.0,0.0,0.000,5.5,10.7,0.517,0.515,2.1,2.5,0.808,3.4,5.2,8.6,1.4,0.5,1.0,2.3,4.3,13.1
No,Emmanuel Mudiay,mudiaem01,2017,NBA,20,DEN,PG,55,41,1406,5.3,14.1,0.377,1.4,4.6,0.315,3.9,9.6,0.408,0.428,3.4,4.3,0.784,0.7,3.8,4.6,5.6,1.0,0.3,3.1,2.4,15.4
No,Shabazz Muhammad,muhamsh01,2017,NBA,24,MIN,SF,78,1,1516,6.8,14.2,0.482,1.2,3.4,0.338,5.7,10.8,0.528,0.523,3.5,4.5,0.774,2.0,3.2,5.2,0.8,0.5,0.1,1.3,2.0,18.3
No,Dejounte Murray,murrade01,2017,NBA,20,SAS,PG,38,8,322,5.6,13.0,0.431,1.0,2.6,0.391,4.6,10.4,0.441,0.470,2.3,3.4,0.700,0.7,4.0,4.7,5.4,0.9,0.7,4.2,3.2,14.5
No,Jamal Murray,murraja01,2017,NBA,19,DEN,SG,82,10,1764,6.0,14.9,0.404,2.3,7.0,0.334,3.7,7.9,0.466,0.483,2.2,2.4,0.883,0.8,3.5,4.4,3.5,1.0,0.5,2.3,2.5,16.6
No,Mike Muscala,muscami01,2017,NBA,25,ATL,C,70,3,1237,4.9,9.8,0.504,1.3,3.2,0.418,3.6,6.6,0.546,0.573,1.4,1.9,0.766,2.2,4.8,7.0,2.8,0.9,1.2,1.6,2.8,12.7
No,Larry Nance Jr.,nancela02,2017,NBA,24,LAL,PF,63,7,1442,4.7,9.0,0.526,0.2,0.9,0.278,4.5,8.1,0.554,0.540,1.5,2.0,0.738,3.0,6.2,9.2,2.4,2.0,1.0,1.4,3.7,11.2
No,Shabazz Napier,napiesh01,2017,NBA,25,POR,PG,53,2,512,5.1,12.9,0.399,2.4,6.5,0.370,2.7,6.4,0.429,0.492,2.7,3.4,0.776,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3
No,Maurice Ndour,ndourma01,2017,NBA,24,NYK,PF,32,4,331,4.2,9.4,0.453,0.1,0.8,0.143,4.1,8.6,0.481,0.459,2.1,2.8,0.731,2.4,4.6,7.0,0.9,1.6,0.9,1.3,3.3,10.7
No,Gary Neal,nealga01,2017,NBA,32,ATL,SG,2,0,18,0.0,14.0,0.000,0.0,4.0,0.000,0.0,10.0,0.000,0.000,8.0,8.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0
No,Jameer Nelson,nelsoja01,2017,NBA,34,DEN,PG,75,39,2045,4.7,10.6,0.444,1.9,4.8,0.388,2.9,5.8,0.489,0.531,0.8,1.1,0.714,0.5,2.9,3.4,6.8,1.0,0.1,2.3,3.5,12.1
