Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),Outlier,Selected (5),Selected (6),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z,LOF_score
No,No,LaMarcus Aldridge,aldrila01,No,No,No,No,No,No,NBA,SAS,PF,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.48,0.488,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,1.00759,0.00283117
No,No,Giannis Antetokounmpo,antetgi01,No,No,No,No,No,No,NBA,MIL,SF,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,0.541,6,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2,1.99736,0
No,No,Carmelo Anthony,anthoca01,No,No,No,No,No,No,NBA,NYK,SF,8.5,19.7,0.433,2.1,6,0.359,6.4,13.7,0.466,0.488,4.3,5.2,0.833,0.9,5.3,6.2,3,0.9,0.5,2.2,2.8,23.5,1.20555,0.0042879
No,No,Bradley Beal,bealbr01,No,No,No,No,No,No,NBA,WAS,SG,8.5,17.7,0.482,3,7.4,0.404,5.6,10.3,0.538,0.566,3.8,4.6,0.825,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,1.02079,0.0572346
No,No,Eric Bledsoe,bledser01,No,No,No,No,No,No,NBA,PHO,PG,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12,0.477,0.485,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23,1.42989,0.0282447
No,No,Joel Bolomboy,bolomjo01,No,No,No,No,No,No,NBA,UTA,PF,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,0.594,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,1.03399,0.0821519
No,No,Anthony Brown,brownan02,No,No,No,Yes,No,No,NBA,ORL,SF,9,20.3,0.444,2.3,6.8,0.333,6.8,13.5,0.5,0.5,0,0,,4.5,11.3,15.8,4.5,0,0,2.3,4.5,20.3,1.8258,0.0515111
No,No,Jimmy Butler,butleji01,No,No,No,No,No,No,NBA,CHI,SF,7.3,16,0.455,1.2,3.2,0.367,6.1,12.9,0.477,0.492,7.5,8.7,0.865,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,1.77301,0.0167912
No,No,Clint Capela,capelca01,No,No,No,No,No,No,NBA,HOU,C,8.4,13.1,0.643,0,0,,8.4,13.1,0.643,0.643,2.2,4.1,0.531,4.1,8.1,12.2,1.5,0.8,1.8,2,4.2,19,1.20555,0.0214644
No,No,Mike Conley,conlemi01,No,No,No,No,No,No,NBA,MEM,PG,7.3,15.8,0.46,2.7,6.6,0.408,4.6,9.3,0.497,0.545,5,5.8,0.859,0.5,3.3,3.8,6.8,1.4,0.3,2.5,2,22.2,1.32432,0.013657
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,2TM,C,9.4,20.9,0.452,1.9,5.3,0.361,7.5,15.6,0.483,0.498,7.6,9.8,0.772,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4,2.60441,0.131034
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,SAC,C,9.6,21.3,0.452,1.8,5.1,0.356,7.8,16.2,0.482,0.494,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1,2.68359,0.0473886
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,NOP,C,8.9,19.7,0.452,2.3,6,0.375,6.6,13.7,0.486,0.51,5.9,7.6,0.777,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26,2.31408,0.0189324
No,No,Stephen Curry,curryst01,No,No,No,No,No,No,NBA,GSW,PG,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.58,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3,2.06334,0.0203256
No,No,Anthony Davis,davisan02,No,No,No,No,No,No,NBA,NOP,C,10.2,20.3,0.505,0.5,1.8,0.299,9.7,18.5,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,2.72318,0.05938
No,No,DeMar DeRozan,derozde01,No,No,No,No,No,No,NBA,TOR,SG,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,0.477,7.5,8.9,0.842,1,4.3,5.3,4,1.1,0.2,2.5,1.8,27.8,1.86539,0.0590183
No,No,Andre Drummond,drumman01,No,No,No,No,No,No,NBA,DET,C,7.2,13.6,0.53,0,0.1,0.286,7.2,13.5,0.532,0.531,2,5.3,0.386,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5,1.57506,0.0418766
No,No,Kevin Durant,duranke01,No,No,No,No,No,No,NBA,GSW,PF,9.6,17.8,0.537,2,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2,27,2.57802,0.0185502
No,No,Joel Embiid,embiijo01,No,No,No,No,No,No,NBA,PHI,C,9.2,19.6,0.466,1.6,4.5,0.367,7.5,15.2,0.495,0.508,8.7,11.2,0.783,2.8,8.3,11.1,3,1.2,3.5,5.4,5.1,28.7,2.2481,0.0308914
No,No,Tyreke Evans,evansty01,No,No,No,No,No,No,NBA,NOP,SF,6.9,17.2,0.401,1.6,5.3,0.3,5.3,11.9,0.446,0.447,3.4,4.4,0.776,0.5,6.1,6.5,6.9,1.7,0.3,3,3.1,18.8,1.07358,0.019906
No,No,Kenneth Faried,farieke01,No,No,No,No,No,No,NBA,DEN,PF,6.3,11.6,0.548,0,0.2,0,6.3,11.4,0.556,0.548,3.6,5.2,0.693,5.1,7.8,12.8,1.5,1.2,1.1,1.6,3.4,16.3,1.04718,0.0452263
No,No,Marc Gasol,gasolma01,No,No,No,No,No,No,NBA,MEM,C,7.6,16.5,0.459,1.5,3.8,0.388,6.1,12.7,0.48,0.503,4,4.7,0.837,0.9,5.7,6.6,4.8,1,1.4,2.4,2.4,20.6,1.27153,0.0165474
No,No,Pau Gasol,gasolpa01,No,No,No,No,No,No,NBA,SAS,C,6.7,13.4,0.502,1.2,2.3,0.538,5.5,11.1,0.494,0.548,2.9,4.1,0.707,2.4,8.7,11.1,3.3,0.5,1.5,1.8,2.4,17.5,1.28473,0.0463619
No,No,Paul George,georgpa01,No,No,No,No,No,No,NBA,IND,SF,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.4,1.6,0.4,2.9,2.8,23.8,1.33751,0.00974536
No,No,Rudy Gobert,goberru01,No,No,No,No,No,No,NBA,UTA,C,5.4,8.2,0.661,0,0,0,5.4,8.2,0.662,0.661,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9,1.07358,0.0979864
No,No,Blake Griffin,griffbl01,No,No,No,No,No,No,NBA,LAC,PF,8.3,16.8,0.493,0.7,2,0.336,7.6,14.9,0.514,0.513,5.5,7.3,0.76,1.9,6.7,8.6,5.2,1,0.4,2.5,2.7,22.8,1.69383,0.0027722
No,No,James Harden,hardeja01,No,No,No,No,No,No,NBA,HOU,PG,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8,2.86835,0.0954373
No,No,Gordon Hayward,haywago01,No,No,No,No,No,No,NBA,UTA,SF,7.8,16.5,0.471,2.1,5.4,0.398,5.7,11.2,0.506,0.536,5.2,6.1,0.844,0.7,4.9,5.6,3.6,1,0.3,2,1.7,22.9,1.28473,0.0355714
No,No,Danuel House Jr.,houseda01,No,No,No,Yes,No,No,NBA,WAS,SG,0,0,,0,0,,0,0,,,0,0,,0,36,36,0,0,0,0,0,0,2.11613,1
No,No,Dwight Howard,howardw01,No,No,No,No,No,No,NBA,ATL,C,6.4,10,0.633,0,0,0,6.4,10,0.635,0.633,3.7,6.9,0.533,4.8,10.5,15.4,1.7,1,1.5,2.8,3.3,16.4,1.31112,0.094048
No,No,Josh Huestis,huestjo01,No,No,No,Yes,No,No,NBA,OKC,PF,7,12.8,0.545,2.3,4.6,0.5,4.6,8.1,0.571,0.636,0,1.2,0,4.6,5.8,10.5,3.5,0,3.5,0,0,16.3,1.8258,0.0914169
No,No,Kyrie Irving,irvinky01,No,No,No,No,No,No,NBA,CLE,PG,9.6,20.2,0.473,2.5,6.3,0.401,7,14,0.505,0.535,4.2,4.7,0.905,0.7,2.5,3.3,6,1.2,0.3,2.6,2.2,25.9,1.57506,0.021994
No,No,Demetrius Jackson,jacksde01,No,No,No,Yes,No,No,NBA,BOS,PG,6.4,8.5,0.75,2.1,2.1,1,4.2,6.4,0.667,0.875,6.4,12.7,0.5,4.2,4.2,8.5,6.4,0,0,0,0,21.2,2.12932,0.194526
No,No,LeBron James,jamesle01,No,No,No,No,No,No,NBA,CLE,SF,9.5,17.3,0.548,1.6,4.4,0.363,7.9,12.9,0.611,0.594,4.6,6.8,0.674,1.2,7,8.2,8.3,1.2,0.6,3.9,1.7,25.2,2.36687,0.000802025
No,No,Al Jefferson,jeffeal01,No,No,No,No,No,No,NBA,IND,C,9.1,18.2,0.499,0,0,0,9.1,18.2,0.5,0.499,2.5,3.3,0.765,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7,1.16596,0.0201464
No,No,Brice Johnson,johnsbr02,No,No,No,Yes,No,No,NBA,LAC,PF,8,28,0.286,0,0,,8,28,0.286,0.286,0,0,,4,8,12,4,8,4,4,0,16,2.644,0.436062
No,No,Nikola Jokić,jokicni01,No,No,No,No,No,No,NBA,DEN,C,8.7,15.1,0.578,0.8,2.5,0.324,7.9,12.6,0.628,0.605,3.3,4,0.825,3.7,8.9,12.7,6.3,1.1,1,3,3.8,21.6,2.10293,0.011089
No,No,Dahntay Jones,jonesda02,No,No,No,No,No,No,NBA,CLE,SF,9,24,0.375,0,6,0,9,18,0.5,0.375,9,12,0.75,3,3,6,3,0,0,3,3,27,1.32432,0.126926
No,No,Terrence Jones,joneste01,No,No,No,Yes,No,No,NBA,MIL,PF,0,18,0,0,0,,0,18,0,0,0,0,,0,18,18,0,6,6,0,0,0,1.32432,0.656574
No,No,DeAndre Jordan,jordade01,No,No,No,No,No,No,NBA,LAC,C,5.8,8.1,0.714,0,0,0,5.8,8.1,0.717,0.714,2.9,6,0.482,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3,14.4,1.23194,0.0719744
No,No,Enes Freedom,kanteen01,No,No,No,No,No,No,NBA,OKC,C,9.4,17.3,0.545,0.1,0.9,0.132,9.3,16.4,0.568,0.549,5.3,6.7,0.786,4.6,6.7,11.3,1.6,0.8,0.9,2.9,3.6,24.3,1.64104,0.0137228
No,No,Kawhi Leonard,leonaka01,No,No,No,No,No,No,NBA,SAS,SF,9.3,19.1,0.485,2.1,5.6,0.38,7.1,13.5,0.529,0.541,6.8,7.8,0.88,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5,2.15572,0.0127714
No,No,Damian Lillard,lillada01,No,No,No,No,No,No,NBA,POR,PG,8.8,19.9,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,1.90498,0.0198563
No,No,Jeremy Lin,linje01,No,No,No,No,No,No,NBA,BRK,PG,7.1,16.3,0.438,2.4,6.4,0.372,4.8,9.9,0.48,0.51,4.7,5.7,0.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3,1.31112,0.0172961
No,No,Shawn Long,longsh01,No,No,No,No,No,No,NBA,PHI,C,9.4,16.8,0.56,1.1,2.9,0.368,8.3,13.8,0.6,0.592,2.9,5.4,0.543,6.3,6.8,13.1,2,1.4,1.4,2,7.5,22.8,1.48268,0.0151225
No,No,Brook Lopez,lopezbr01,No,No,No,No,No,No,NBA,BRK,C,9,19,0.474,2.2,6.3,0.346,6.8,12.7,0.536,0.531,4.8,5.9,0.81,2,4.6,6.5,2.9,0.6,2,3,3.1,24.9,1.42989,0.0179585
No,No,Kevin Love,loveke01,No,No,No,No,No,No,NBA,CLE,PF,7.1,16.6,0.427,2.8,7.4,0.373,4.3,9.1,0.471,0.51,4.9,5.6,0.871,2.8,9.9,12.7,2.2,1,0.4,2.3,2.4,21.8,1.77301,0.0126496
No,No,Kyle Lowry,lowryky01,No,No,No,No,No,No,NBA,TOR,PG,6.8,14.7,0.464,3.1,7.5,0.412,3.7,7.2,0.518,0.569,4.8,5.9,0.819,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6,1.20555,0.0678825
No,No,Boban Marjanović,marjabo01,No,No,No,No,No,No,NBA,DET,C,8.8,16.2,0.545,0,0,,8.8,16.2,0.545,0.545,5.8,7.1,0.81,5.7,10.3,16,1.1,0.7,1.5,1.2,3.1,23.5,2.44605,0.0272984
No,No,CJ McCollum,mccolcj01,No,No,No,No,No,No,NBA,POR,SG,8.9,18.6,0.48,2.4,5.7,0.421,6.5,12.9,0.506,0.544,3.5,3.8,0.912,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7,1.02079,0.0259836
No,No,JaVale McGee,mcgeeja01,No,No,No,No,No,No,NBA,GSW,C,10.1,15.5,0.652,0,0.1,0,10.1,15.4,0.658,0.652,2.7,5.4,0.505,4.9,7,11.9,0.8,0.9,3.3,1.9,5.3,23,1.68063,0.0131813
No,No,Paul Millsap,millspa01,No,No,No,No,No,No,NBA,ATL,PF,6.6,14.9,0.442,1.2,3.7,0.311,5.5,11.2,0.486,0.481,4.8,6.2,0.768,1.7,6.5,8.2,3.9,1.4,1,2.4,2.9,19.1,1.09997,0.0495861
No,No,Greg Monroe,monrogr01,No,No,No,No,No,No,NBA,MIL,C,7.6,14.3,0.533,0,0.1,0,7.6,14.3,0.536,0.533,3.5,4.7,0.741,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8,1.25833,0.00868546
No,No,Dirk Nowitzki,nowitdi01,No,No,No,No,No,No,NBA,DAL,PF,7.5,17.1,0.437,2,5.3,0.378,5.5,11.9,0.463,0.495,2.5,2.8,0.875,0.6,8.3,8.9,2.1,0.8,1,1.3,2.9,19.4,1.06038,0.00393481
No,No,Jusuf Nurkić,nurkiju01,No,No,No,No,No,No,NBA,2TM,C,7,13.8,0.507,0,0,0,7,13.8,0.508,0.507,3.1,5.4,0.571,4,8.1,12.1,3.2,1.3,1.9,3.7,4.2,17.1,1.02079,0.0800343
No,No,Jusuf Nurkić,nurkiju01,No,No,No,No,No,No,NBA,POR,C,7.4,14.5,0.508,0,0.1,0,7.4,14.5,0.511,0.508,3.9,6,0.66,4,8.8,12.8,3.9,1.5,2.3,3.8,4.5,18.7,1.44309,0.00995211
No,No,Kyle O'Quinn,oquinky01,No,No,No,No,No,No,NBA,NYK,C,6.3,12.1,0.521,0.1,0.5,0.118,6.2,11.6,0.538,0.523,1.9,2.4,0.771,4.6,8.3,12.9,3.4,1.1,3,2.2,5.1,14.5,1.00759,0.0472389
No,No,Jabari Parker,parkeja01,No,No,No,No,No,No,NBA,MIL,PF,8.3,17,0.49,1.4,3.7,0.365,7,13.2,0.525,0.53,3.4,4.5,0.743,1.6,4.9,6.5,3,1,0.5,1.9,2.3,21.4,1.08678,0.00929691
No,No,Chris Paul,paulch01,No,No,No,No,No,No,NBA,LAC,PG,7,14.7,0.476,2.3,5.7,0.411,4.7,9.1,0.518,0.555,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7,1.8258,0.0140412
No,No,Zach Randolph,randoza01,No,No,No,No,No,No,NBA,MEM,PF,8.7,19.4,0.449,0.4,1.9,0.223,8.3,17.5,0.474,0.46,2.8,3.9,0.731,3.7,8.4,12.1,2.5,0.8,0.2,2,2.7,20.7,1.53547,0.00205723
No,No,Isaiah Thomas,thomais02,No,No,No,No,No,No,NBA,BOS,PG,9.6,20.6,0.463,3.4,9.1,0.379,6.1,11.6,0.528,0.546,8.3,9.1,0.909,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8,2.11613,0.0403294
No,No,Klay Thompson,thompkl01,No,No,No,No,No,No,NBA,GSW,SG,8.8,18.7,0.468,3.6,8.8,0.414,5.1,9.9,0.516,0.565,2.5,3,0.853,0.7,3.2,3.9,2.2,0.9,0.5,1.7,1.9,23.7,1.00759,0.0137296
No,No,Karl-Anthony Towns,townska01,No,No,No,No,No,No,NBA,MIN,C,9.5,17.6,0.542,1.2,3.3,0.367,8.3,14.3,0.582,0.576,4.2,5.1,0.832,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5,2.06334,0.00106554
No,No,Nikola Vučević,vucevni01,No,No,No,No,No,No,NBA,ORL,C,8,17.2,0.468,0.4,1.2,0.307,7.7,15.9,0.481,0.48,1.8,2.7,0.669,2.9,10,13,3.5,1.3,1.2,1.9,3,18.2,1.62784,0.0287892
No,No,Dwyane Wade,wadedw01,No,No,No,No,No,No,NBA,CHI,SG,8.3,19.2,0.434,0.9,2.9,0.31,7.4,16.3,0.456,0.457,4.5,5.6,0.794,1.3,4.2,5.4,4.6,1.7,0.8,2.8,2.3,22,1.24514,0.00610389
No,No,Kemba Walker,walkeke02,No,No,No,No,No,No,NBA,CHO,PG,8.5,19,0.444,3.2,7.9,0.399,5.3,11.1,0.476,0.527,4,4.7,0.847,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1,1.50907,0.028405
No,No,John Wall,walljo01,No,No,No,No,No,No,NBA,WAS,PG,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,0.482,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9,1.86539,0.0620165
No,No,Russell Westbrook,westbru01,No,No,No,No,No,No,NBA,OKC,PG,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,0.476,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9,3.81852,0.139468
No,No,Hassan Whiteside,whiteha01,No,No,No,No,No,No,NBA,MIA,C,7.8,13.9,0.557,0,0,,7.8,13.9,0.557,0.557,3.2,5.1,0.628,4.2,11.4,15.6,0.8,0.8,2.3,2.2,3.2,18.8,1.70703,0.0291759
No,No,Alan Williams,willial03,No,No,No,No,No,No,NBA,PHO,C,7,13.6,0.517,0,0.1,0,7,13.5,0.519,0.517,3.6,5.7,0.625,4.8,10.1,14.8,1.2,1.4,1.6,1.9,6.4,17.6,1.09997,0.0285354
No,No,Lou Williams,willilo02,No,No,No,No,No,No,NBA,2TM,SG,7.7,18,0.429,2.9,8.1,0.365,4.8,10,0.48,0.511,7.3,8.3,0.88,0.5,3.2,3.6,4.3,1.4,0.4,2.9,1.7,25.7,1.42989,0.0403205
No,No,Lou Williams,willilo02,No,No,No,No,No,No,NBA,LAL,SG,8.4,18.8,0.444,3.1,8.1,0.385,5.2,10.7,0.489,0.527,7.8,8.8,0.884,0.4,3,3.4,4.7,1.7,0.3,3.1,1.7,27.7,1.72022,0.0521668